자치구별(2),강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
종로구,0.2646566164154104,0.7272727272727273,0.09090909090909091,0.27171903881700554,0.18721973094170402,100.0,100.0,100.0,70.98248286367098,85.25519848771268,162820.0,1002,0.30835544087118766,100.0
중구,0.20770519262981574,0.4545454545454546,0.0,0.303758471965496,0.15695067264573997,63.4020618556701,80.0,100.0,53.040293040293044,84.06374501992032,133240.0,671,0.22459195835730122,83.40084904622915
용산구,0.35175879396984927,0.6363636363636364,0.36363636363636365,0.06531115218730754,0.2283258594917788,85.0,100.0,60.0,51.94274028629857,78.78609310548026,244203.0,1624,0.3290791611297871,82.35374865987916
성동구,0.09212730318257957,0.18181818181818182,0.09090909090909091,0.06592729513247075,0.0,77.60000000000001,100.0,100.0,54.95403472931562,88.21362799263352,311244.0,1062,0.0861563742084646,92.22553943278606
광진구,0.2680067001675042,0.0,0.4545454545454545,0.49168207024029575,0.23430493273542602,75.65217391304347,,83.33333333333334,49.76047904191617,86.86514886164623,372164.0,707,0.2897078315377361,64.7932310795404
동대문구,0.09212730318257957,0.18181818181818182,0.2727272727272727,0.4214417744916821,0.17937219730941706,84.8,100.0,100.0,52.89203084832905,82.75862068965517,369496.0,1294,0.22949734590582666,92.15605565340469
중랑구,0.13400335008375208,0.18181818181818182,0.09090909090909091,0.3918669131238448,0.31801195814648736,80.66666666666666,100.0,100.0,58.48806366047745,85.90604026845638,414503.0,660,0.22332189881627137,93.16651998944133
성북구,0.1474036850921273,0.09090909090909091,0.1818181818181818,0.16697473813924835,0.13378176382660684,81.64556962025317,100.0,100.0,62.55468066491689,88.43490304709142,461260.0,1464,0.14417749195705104,94.826703496035
강북구,0.17922948073701844,0.4545454545454546,0.36363636363636365,0.0,0.2567264573991031,83.05084745762711,100.0,80.0,67.54587155963303,90.07332205301748,330192.0,748,0.25082755126358797,92.20414232867526
도봉구,0.0,0.0,0.1818181818181818,0.05976586568083797,0.004857997010463411,77.14285714285715,,100.0,56.34674922600619,87.89808917197452,348646.0,485,0.04928840890189663,70.44304069512236
노원구,0.18425460636515917,0.2727272727272727,0.1818181818181818,0.3894023413431916,0.41853512705530643,83.88888888888889,33.33333333333333,100.0,48.47074468085106,79.64641885766093,569384.0,1265,0.28934750586182234,75.69286796694065
은평구,0.17755443886097155,0.4545454545454546,0.2727272727272727,0.3850893407270487,0.26868460388639764,82.95454545454545,80.0,100.0,63.19305277221109,86.31578947368422,494388.0,1873,0.311720222149429,90.40537521554934
서대문구,0.14572864321608042,0.5454545454545454,0.36363636363636365,0.14910659272951332,0.0022421524663677195,91.71974522292994,100.0,80.0,50.7181328545781,81.13553113553114,327163.0,962,0.24123365950057413,88.45683416977921
마포구,0.6130653266331658,0.18181818181818182,0.09090909090909091,0.35674676524953797,0.41816143497757846,84.40366972477065,50.0,100.0,45.00344589937974,81.17913832199547,389649.0,574,0.332140159917511,79.03473752498552
양천구,0.07370184254606364,0.2727272727272727,0.09090909090909091,0.3709180529882934,0.18310911808669655,80.7017543859649,100.0,100.0,52.98507462686567,79.44162436548223,479978.0,2034,0.19827307545148343,90.55114697116191
강서구,0.31993299832495814,0.6363636363636364,0.1818181818181818,0.689463955637708,0.49140508221225715,74.71264367816092,100.0,100.0,59.51783023606229,91.6701374427322,603772.0,884,0.4637967708713483,93.35059964697145
구로구,0.24623115577889448,0.7272727272727273,0.9090909090909091,0.42698706099815165,0.36248131539611367,66.82027649769586,100.0,100.0,53.73801916932908,83.94941634241245,447874.0,1561,0.5344126337073591,88.66161839400876
금천구,0.09547738693467338,0.2727272727272727,0.09090909090909091,0.1515711645101664,0.09005979073243647,68.50393700787401,100.0,50.0,59.2128801431127,85.4559155990957,255082.0,1015,0.14014894116272797,79.60165229543485
영등포구,0.43048576214405365,0.9090909090909092,0.36363636363636365,0.7332101047443007,0.4966367713004484,72.47706422018348,90.0,100.0,46.21726479146459,82.02898550724638,402985.0,904,0.5866119821832151,85.64029901291043
동작구,0.23785594639865998,0.4545454545454546,0.09090909090909091,0.1990141712877388,0.08781763826606875,50.47169811320755,100.0,100.0,49.20502092050209,78.57683573050718,412520.0,1091,0.2140284602814026,82.90712718945605
관악구,0.43048576214405365,0.8181818181818182,0.8181818181818182,0.6740603820086262,0.5534379671150973,85.3211009174312,88.88888888888889,80.0,53.40793489318413,80.48305414881185,525515.0,1496,0.6588695495262827,85.0655249909991
서초구,0.6046901172529313,0.2727272727272727,0.1818181818181818,0.6463339494762785,0.3792974588938715,76.10208816705337,100.0,66.66666666666666,53.305570015616865,82.86530223702998,450310.0,1930,0.4169733960337072,83.0575032653904
강남구,1.0,1.0,0.9999999999999999,1.0,1.0,80.0599700149925,90.9090909090909,83.33333333333334,48.37675350701402,86.6294524189261,570500.0,2780,1.0,85.33021626583283
송파구,0.3685092127303183,0.4545454545454546,0.09090909090909091,0.8188539741219965,0.5915545590433484,75.86206896551724,100.0,100.0,46.933212176283504,80.47958036717871,667483.0,618,0.46487445827004176,88.39139728977943
강동구,0.14572864321608042,0.4545454545454546,0.36363636363636365,0.4929143561306224,0.2937219730941704,85.35031847133759,100.0,100.0,53.827751196172244,85.41666666666666,453233.0,773,0.3501093581245383,93.0643727358336
